formal,informal
سیستم در حال بروزرسانی است, داره آپدیت میشه
رمز عبور نامعتبر است, پسوردت غلطه
حساب کاربری مسدود شده, اکانتتو بستن
در حال اتصال به سرور هستیم, داریم وصل میشیم
زمان نشست به پایان رسیده, وقتت تموم شد
محدودیت دسترسی دارید, اجازه نداری
فایل یافت نشد, پیداش نکردم
حجم داده زیاد است, بیش از حد زدی
نشست کاربری منقضی شده, لاگ اوت شدی
در حال پردازش اطلاعات هستیم, داریم روش کار میکنیم
پارامترهای ورودی ناقص هستند, جا انداختی
سرویس موقتاً غیرفعال است, تعطیله
اعتبار سنجی ناموفق بود, چک کردن قبول نشد
نشانی ایمیل نامعتبر است, ایمیلت درست نیست
در حال ذخیره‌سازی اطلاعات هستیم, داریم سیو میکنیم
عملیات لغو شد, کنسل کردی
محدودیت زمانی دارید, دیرت شده
فایل آسیب دیده است, خراب شده
در حال انتقال داده‌ها هستیم, داریم جابجا میکنیم
دسترسی غیرمجاز است, حق نداری
سیستم پاسخگو نیست, جواب نمیده
در حال هماهنگی با تیم مربوطه هستیم,داریم با بچه‌های اون تیم هماهنگ می‌کنیم
لطفاً منتظر اطلاع‌رسانی بعدی باشید,یه خبر جدید بهت می‌دیم
مورد فوق در حال پیگیری است,داریم دنبال این قضیه رو می‌گیریم
امکان پاسخ‌گویی تلفنی وجود ندارد,نمی‌تونیم با تلفن جواب بدیم
نیاز به بررسی میدانی دارد,باید بریم از نزدیک ببینیم
پیشنهاد در دست ارزیابی است,دارن پیشنهادو بررسی می‌کنن
به‌زودی جلسه برگزار خواهد شد,زود یه جلسه می‌ذاریم
تصمیم نهایی هنوز گرفته نشده,هنوز تصمیم نگرفتیم
لطفاً از طریق راه‌های ارتباطی رسمی اقدام فرمایید,از راه درستش بیا
اطلاعات جدید به‌روزرسانی خواهد شد,زودتر اطلاعاتو آپدیت می‌کنیم
خطایی در ذخیره‌سازی رخ داده است,سیو نشد درست
لطفاً در اولین فرصت اقدام نمایید,هرچه زودتر انجامش بده
در حال تهیه مستندات لازم هستیم,داریم مدارک لازم رو جمع می‌کنیم
تاریخ مشخصی اعلام نشده است,هنوز تاریخی نگفتن
مورد موردنظر یافت نشد,پیداش نکردیم
پاسخ از سوی بخش مربوطه دریافت نشد,جوابی از اون بخش نیومده
موضوع شما در اولویت نیست,فعلاً تو نوبت پایین‌تریه
باید اطلاعات هویتی تأیید شود,هویتت باید تایید شه
ارسال مجدد اطلاعات ضروری است,باید دوباره بفرستی
امکان استفاده خارج از سیستم وجود ندارد,بیرون سیستم نمی‌شه استفاده کرد
نیاز به تعامل بیشتر وجود دارد,باید بیشتر با هم هماهنگ باشیم
در حال تدوین نهایی هستیم,داریم آخراشو تنظیم می‌کنیم
از صبر و شکیبایی شما سپاسگزاریم,مرسی که صبر کردی
نمی‌توان زمان مشخصی اعلام کرد,نمی‌تونیم بگیم دقیقاً کی
به دلایل فنی به تعویق افتاد,به خاطر فنی عقب افتاد
امکان پیوست فایل وجود ندارد,نمی‌تونی فایل بذاری
با خطای داخلی مواجه شدیم,یه ایراد تو خود سیستم پیش اومد
در حال بررسی بازخوردها هستیم,داریم نظراتو می‌خونیم
مراحل اجرایی هنوز شروع نشده است,فعلاً چیزی اجرا نشده
لطفاً از تکرار درخواست خودداری نمایید,دیگه نذار تکراری
به محض آماده شدن اطلاع‌رسانی خواهد شد,تا آماده شد خبرت می‌کنیم
در حال بررسی نظرات کاربران هستیم,نظرا رو داریم می‌خونیم
مدارک باید به‌روزرسانی شوند,مدرکاتو آپدیت کن
امکان دسترسی همگانی وجود ندارد,همه دسترسی ندارن
لطفاً اشکال را به‌طور دقیق گزارش نمایید,مشکل‌تو دقیق بگو
این درخواست قابل انجام نیست,نمی‌تونیم انجامش بدیم
در حال طی مراحل قانونی هستیم,داریم روند قانونی رو می‌ریم
منتظر پاسخ کارشناسی باشید,کارشناس باید جواب بده
مورد به زودی نهایی می‌شود,زودی تکلیفش مشخص می‌شه
نیاز به بررسی امنیتی دارد,باید از لحاظ امنیتی بررسی بشه
با عرض پوزش، امکان‌پذیر نیست,متاسفم، نمی‌شه
درخواست تکراری ثبت شده است,دوباره همونو فرستادی
اطلاعات ثبت‌شده مغایرت دارد,یه‌جاش نمی‌خوره
نیاز به ویرایش بیشتر است,هنوز درستش نکردی کامل
در حال نهایی‌سازی جداول هستیم,داریم جدولارو کامل می‌کنیم
پاسخ شما دریافت شد,جوابت رسید
مورد ارسال شده معتبر نیست,چیزی که فرستادی درست نبود
در حال آماده‌سازی سیستم جدید هستیم,داریم سیستم جدید رو راه می‌ندازیم
این بخش در حال حاضر غیرفعال است,فعلاً کار نمی‌کنه
لطفاً مدارک تکمیلی را بارگذاری نمایید,باقیمونده مدارک رو آپلود کن
مورد در لیست انتظار قرار دارد,نوبتت هنوز نرسیده
به زودی به‌روزرسانی جدید اعمال خواهد شد,زود یه آپدیت جدید میاد
تغییرات پیشنهادی ثبت شد,عوضیایی که گفتی ثبت شد
درخواست بررسی بیشتر نیاز دارد,باید دقیق‌تر نگاه کنیم
از طریق پشتیبانی پیگیری نمایید,با پشتیبانی در تماس باش
در حال تنظیم نهایی فرم هستیم,داریم فرم نهایی رو می‌نویسیم
اطلاعات وارد شده به روز نیست,اطلاعاتت قدیمیه
باید از ابتدا شروع شود,از اول باید بری
امکان بارگذاری بیش از این وجود ندارد,بیشتر از این نمی‌تونی بذاری
به دلیل مشکل فنی موفق به ثبت نشدیم,خراب بود نتونستیم ثبت کنیم
باید مجدداً اقدام نمایید,دوباره باید بری سراغش
در حال ارسال پیامک اطلاع‌رسانی هستیم,داریم اس‌ام‌اس می‌زنیم
لطفاً مشکل را به‌صورت دقیق شرح دهید,کامل بگو چی شده
پاسخ خودکار برای شما ارسال شده است,یه پیام اتوماتیک برات فرستادیم
موضوع در لیست بررسی قرار گرفت,داریم بررسیش می‌کنیم
در حال تکمیل فرم‌های مرتبط هستیم,فرم‌های مربوط رو داریم پر می‌کنیم
درخواست شما منقضی شده است,درخواستت دیگه اعتبار نداره
مورد شما جزو اولویت‌ها نیست,فعلاً نوبت تو نیست
خطای غیرمنتظره رخ داده است,یه چیزی خارج از انتظار پیش اومد
در حال بروزرسانی پروفایل شما هستیم,اطلاعاتتو داریم آپدیت می‌کنیم
مورد شما به بخش حقوقی ارجاع داده شد,دادیمش به حقوقی
نیاز به بررسی دقیق‌تری دارد,باید ریزتر بررسی کنیم
به زودی از طرف ما تماس گرفته می‌شود,زود بهت زنگ می‌زنیم
مورد به تأخیر افتاده است,عقب افتاده
